Name,PCA,IncrementalPCA,RandomTreesEmbedding,SelectKBest,SpectralEmbedding,TruncatedSVD,LDA,LLE,KPCA,t-SNE
1005_glass,0.770874861572536,0.770874861572536,0.7800664451827243,0.7940199335548174,0.756921373200443,0.770874861572536,0.6447397563676633,0.756810631229236,0.7803986710963455,0.77984496124031
1048_jEdit_4_2_4_3,0.623435764531655,0.623435764531655,0.5529433543132173,0.6586449463161792,0.6586079229914846,0.623435764531655,0.6015179563124768,0.6423546834505738,0.650536838208071,0.6804516845612736
1068_pc1,0.9278586278586278,0.9278586278586278,0.9305531776120012,0.9341893930129224,0.92516000163059,0.9287595287595288,0.9260690554808202,0.9404875463698992,0.9305613305613306,0.9278667808079574
1071_mw1,0.9206172839506171,0.9206172839506171,0.9230864197530864,0.935432098765432,0.9230864197530864,0.9206172839506171,0.9082098765432098,0.9230864197530864,0.9181172839506172,0.9180864197530864
1442_MegaWatt1,0.8972549019607843,0.8972549019607843,0.8933333333333333,0.9130980392156862,0.8854901960784314,0.8972549019607843,0.8814117647058823,0.9130980392156862,0.8971764705882354,0.8775686274509804
1443_PizzaCutter1,0.9228753702437912,0.9228753702437912,0.9258601048074732,0.931909318751424,0.9152882205513784,0.9228753702437912,0.9198336750968328,0.9333902939166095,0.9273980405559352,0.92738664843928
1446_CostaMadre1,0.8307909604519773,0.8307909604519773,0.8682485875706215,0.8681920903954803,0.8446327683615819,0.8307909604519773,0.8647457627118644,0.8850282485875706,0.8276271186440678,0.844632768361582
1447_CastMetal1,0.8532867132867133,0.8532867132867133,0.8654545454545455,0.8777156177156178,0.8868997668997668,0.8532867132867133,0.8562237762237762,0.8778088578088579,0.8470862470862471,0.8717016317016316
1449_MeanWhile1,0.8894901960784314,0.8894901960784314,0.8893333333333333,0.9013333333333332,0.8854901960784314,0.8894901960784314,0.8894117647058823,0.8972549019607843,0.8854901960784314,0.8854117647058823
1451_PieChart1,0.906382978723404,0.906382978723404,0.9163120567375886,0.9234042553191488,0.90354609929078,0.906382978723404,0.9106382978723404,0.9177304964539008,0.8992907801418438,0.8964539007092199
1460_banana,0.891,0.891,0.8865000000000001,0.889,0.893,0.6575,0.663,0.606,0.8895,0.893
1462_banknote-authentication,0.9737571333775714,0.9737571333775714,0.998542800265428,0.9992727272727272,0.9985454545454544,0.9737571333775714,0.9343835434638356,0.9832408759124088,0.9985454545454544,0.9985454545454544
1499_seeds,0.8952380952380953,0.8952380952380953,0.8714285714285716,0.9238095238095236,0.8904761904761905,0.8952380952380953,0.8857142857142858,0.9333333333333332,0.919047619047619,0.9
1500_seismic-bumps,0.919047619047619,0.919047619047619,0.9047619047619048,0.9428571428571428,0.919047619047619,0.919047619047619,0.8857142857142856,0.9523809523809524,0.9285714285714284,0.919047619047619
1508_user-knowledge,0.781574074074074,0.781574074074074,0.8040740740740742,0.9330555555555556,0.7765432098765432,0.575462962962963,0.5511728395061729,0.5754320987654321,0.7890432098765432,0.8064197530864197
